K(5) : 1.0, 0.0 -> 1.0, 0.0*178.649994
B(6) : 1.0, 0.0 -> 0.0, 0.005639521545924595*177.320007
K(7) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*175.240005
K(8) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*175.039993
K(9) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*170.0
K(10) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*168.389999
K(11) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*168.070007
K(12) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*173.679993
K(13) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*167.25
K(14) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*167.809998
K(15) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*166.639999
K(16) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*167.639999
K(17) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*164.880005
K(18) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*172.580002
K(19) : 0.0, 0.005639521545924595 -> 0.0, 0.005639521545924595*170.970001
