K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
K(258) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.40229247801246
K(259) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.470248390616575
K(260) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.537694499135831
K(261) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.527342549263595
K(262) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.476658378116996
K(263) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.568664579960062
K(264) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.643602291366426
K(265) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.588985690737262
K(266) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.635023580874922
K(267) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.584485216233261
K(268) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.605862638758627
K(269) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.581531374755084
K(270) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.539658677054526
K(271) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.58886769089938
K(272) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.532878804964547
K(273) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.510171359441202
K(274) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.492885600040168
K(275) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.53646583647152
K(276) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.541178244331496
K(277) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.552596897298285
K(278) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.632829807408818
K(279) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.629761897415309
K(280) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.58346653212578
K(281) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.587340074243613
K(282) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.509959876771912
K(283) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.479678723179497
K(284) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.498758653399593
K(285) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.529265084347829
K(286) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.533924866218348
K(287) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.500277754905845
K(288) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.493012310438749
K(289) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.569185692045245
K(290) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.514438462843046
K(291) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.64456735967828
K(292) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.743572896076284
K(293) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.833660000596264
K(294) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.972446253832183
K(295) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.997806784604222
K(296) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.094620365406438
K(297) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.12610498768304
K(298) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.207378488791013
K(299) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.101860452204232
K(300) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.072236240286767
K(301) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.120459867836631
K(302) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.156636267444245
K(303) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.06995191177011
K(304) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.099058638457446
K(305) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.118846388765835
K(306) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.087547621787818
K(307) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.118575248052629
K(308) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.24081993368976
K(309) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.24485900976908
K(310) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.16715404211654
K(311) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.13678320517758
K(312) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.099561802181567
K(313) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.128871181638363
K(314) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.083012779442399
K(315) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.004937246160925
K(316) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.119555019302556
K(317) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.151360957953615
K(318) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.11650276306494
K(319) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.140593173989632
K(320) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.099145570271812
K(321) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.064905635675569
K(322) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.142718498050172
K(323) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.979571419012856
K(324) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.091034738684122
K(325) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.18887355227168
K(326) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.157812354931508
K(327) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.048354201547502
K(328) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.004964957721908
K(329) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.963273475248887
K(330) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.080835460619628
K(331) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.141709777894025
K(332) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.199144465152878
K(333) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.239719709936981
K(334) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.270049444262174
K(335) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.220866634884597
K(336) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.368720347612003
K(337) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.424652786356805
K(338) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.533986852746441
K(339) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.606496726346617
K(340) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.657262531844967
K(341) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.634858545299421
K(342) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.651510806708387
K(343) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.603968603450832
K(344) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.613636435918398
K(345) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.580837765567509
K(346) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.606775956456744
K(347) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.46733606993637
K(348) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.45419428833586
K(349) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.498832267043925
K(350) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.537398893110367
K(351) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.467080361116027
K(352) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.485098580423356
K(353) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.43397682244709
K(354) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.392115468252296
K(355) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.348631400040379
K(356) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.301563052036784
K(357) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.289707247683042
K(358) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.369880021343498
K(359) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.358483914293128
K(360) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.355353357281809
K(361) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.423700502576212
K(362) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.47151581247779
K(363) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.415955546487918
K(364) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.419643192178956
K(365) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.547780129327915
K(366) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.537515059454458
K(367) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.510747514230355
K(368) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.307987594797112
K(369) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.28425868172489
K(370) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.31094794520159
K(371) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.357386609553036
K(372) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.244356727415107
K(373) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.156465804998309
K(374) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.08505531182757
K(375) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.242234056296994
K(376) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.30921416756668
K(377) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.325527285506087
K(378) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.354139369157927
K(379) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.497286595607857
K(380) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.606244655600754
K(381) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.70636597673175
K(382) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.734967208240967
K(383) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.758621547999677
K(384) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.834553165773048
K(385) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.898023682695673
K(386) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.871762223124618
K(387) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.98489516486135
K(388) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.013654116847501
K(389) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.996418608003722
K(390) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.080865822753418
K(391) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.294665427042942
K(392) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.246547020423403
K(393) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.284086201003792
K(394) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.267267471006743
K(395) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.156548120986713
K(396) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.13556783642522
K(397) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.068819680703355
K(398) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.110943628243064
K(399) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*13.959281640923825
K(400) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.15117774058194
K(401) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.095034138239878
K(402) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.080551323058767
K(403) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.07473406219668
K(404) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.073385950938441
K(405) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.089702981567665
K(406) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.21317315834795
K(407) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.190973588197332
K(408) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.284072177336503
K(409) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.250277611437966
K(410) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.147586736924893
K(411) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.100294573769784
K(412) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.0695057485881
K(413) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.176231724937082
K(414) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.233980032146249
K(415) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.292107079225126
K(416) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.206824392714719
K(417) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.162260030690234
K(418) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.163477656947737
K(419) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.232388287533821
K(420) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.282208684433623
K(421) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.525056377317409
K(422) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.513621988124193
K(423) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.53671146811716
K(424) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.525673616316876
K(425) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.624455786052348
K(426) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.50543238341156
K(427) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.510464595588992
K(428) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.483176171333845
K(429) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.475833842190983
K(430) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.393304376201584
K(431) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.431904678189017
K(432) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.554510964699183
K(433) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.613279340683034
K(434) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.662530731908003
K(435) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.6454117566911
K(436) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.640205772793081
K(437) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.619430997629568
K(438) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.739938145146485
K(439) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.732005727281795
K(440) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.69688681066112
