K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
B(121) : 100.0, 0.0 -> 47.21323780703819, 4.957387422294508*10.648101045233552
S(122) : 47.21323780703819, 4.957387422294508 -> 74.67813600877028, 2.369467580854049*10.612731415376793
B(123) : 74.67813600877028, 2.369467580854049 -> 37.060465872698124, 5.906346279168487*10.63583836052945
S(124) : 37.060465872698124, 5.906346279168487 -> 69.46742951182489, 2.876508099083115*10.695938764034466
S(125) : 69.46742951182489, 2.876508099083115 -> 86.48901099162164, 1.275891273891699*10.634388700594322
S(126) : 86.48901099162164, 1.275891273891699 -> 93.41474830110694, 0.6227220512566422*10.603281767541104
B(127) : 93.41474830110694, 0.6227220512566422 -> 45.72048097556926, 5.127857884499393*10.586643575451935
B(128) : 45.72048097556926, 5.127857884499393 -> 21.82708148672969, 7.364365813812043*10.68335111880546
S(129) : 21.82708148672969, 7.364365813812043 -> 64.91954027134184, 3.3335458502397346*10.690742621613278
S(130) : 64.91954027134184, 3.3335458502397346 -> 84.48327949260225, 1.4911398001176273*10.618581729018855
S(131) : 84.48327949260225, 1.4911398001176273 -> 92.50876996630345, 0.7448240172984922*10.753478163607484
S(132) : 92.50876996630345, 0.7448240172984922 -> 97.305145351364, 0.29937710956798985*10.76755793299253
S(133) : 97.305145351364, 0.29937710956798985 -> 99.28396465179932, 0.11728427651064077*10.867090523063569
S(134) : 99.28396465179932, 0.11728427651064077 -> 100.14427487592452, 0.03750511545650245*10.783645914017423
S(135) : 100.14427487592452, 0.03750511545650245 -> 100.39576753907046, 0.014256679311448368*10.8176163582273
S(136) : 100.39576753907046, 0.014256679311448368 -> 100.49553502140934, 0.005069090909259593*10.858941211941321
S(137) : 100.49553502140934, 0.005069090909259593 -> 100.53282328435134, 0.001650866588254694*10.90866468676886
S(138) : 100.53282328435134, 0.001650866588254694 -> 100.54560909311209, 0.00047827810353936085*10.903918064531023
S(139) : 100.54560909311209, 0.00047827810353936085 -> 100.54931958445674, 0.00014020535599204337*10.975422809351578
S(140) : 100.54931958445674, 0.00014020535599204337 -> 100.55048253225785, 3.385037411427822e-05*10.934586989515577
S(141) : 100.55048253225785, 3.385037411427822e-05 -> 100.55075468742335, 9.17231701626471e-06*11.028224970202558
S(142) : 100.55075468742335, 9.17231701626471e-06 -> 100.55083444925953, 1.8642551413797104e-06*10.914225623976302
S(143) : 100.55083444925953, 1.8642551413797104e-06 -> 100.55084897220381, 5.326022551949927e-07*10.905953374922383
S(144) : 100.55084897220381, 5.326022551949927e-07 -> 100.55085312841902, 1.5534631779883762e-07*11.016964343564023
S(145) : 100.55085312841902, 1.5534631779883762e-07 -> 100.55085446926316, 3.283891136831707e-08*10.94500463518805
S(146) : 100.55085446926316, 3.283891136831707e-08 -> 100.55085473180496, 8.650836634941687e-09*10.854183553949152
S(147) : 100.55085473180496, 8.650836634941687e-09 -> 100.55085479596423, 2.8471098915477974e-09*11.054839032347845
S(148) : 100.55085479596423, 2.8471098915477974e-09 -> 100.55085482149934, 5.238706668457093e-10*10.991168607875556
S(149) : 100.55085482149934, 5.238706668457093e-10 -> 100.55085482593464, 1.2051485814345967e-10*10.995976736436878
S(150) : 100.55085482593464, 1.2051485814345967e-10 -> 100.55085482695725, 2.7305021834453788e-11*10.971138647067798
S(151) : 100.55085482695725, 2.7305021834453788e-11 -> 100.5508548271846, 6.676965988248532e-12*11.021348401898681
S(152) : 100.5508548271846, 6.676965988248532e-12 -> 100.5508548272427, 1.3902852218243908e-12*10.992411232333948
S(153) : 100.5508548272427, 1.3902852218243908e-12 -> 100.55085482725448, 3.18581506144083e-13*10.986960943589466
S(154) : 100.55085482725448, 3.18581506144083e-13 -> 100.55085482725717, 7.425814013653144e-14*10.966603376574197
S(155) : 100.55085482725717, 7.425814013653144e-14 -> 100.55085482725778, 1.8402088680797304e-14*10.958629225744314
S(156) : 100.55085482725778, 1.8402088680797304e-14 -> 100.55085482725794, 4.6663882704958756e-15*10.900964763342223
S(157) : 100.55085482725794, 4.6663882704958756e-15 -> 100.55085482725798, 1.377900001737208e-15*10.881174899118019
S(158) : 100.55085482725798, 1.377900001737208e-15 -> 100.550854827258, 4.2658933156267983e-16*10.811208097215044
S(159) : 100.550854827258, 4.2658933156267983e-16 -> 100.550854827258, 1.53654678276379e-16*10.952401066684073
S(160) : 100.550854827258, 1.53654678276379e-16 -> 100.550854827258, 3.965572857638068e-17*10.949251801456654
S(161) : 100.550854827258, 3.965572857638068e-17 -> 100.550854827258, 1.0324804187095463e-17*10.875703690768429
S(162) : 100.550854827258, 1.0324804187095463e-17 -> 100.550854827258, 3.2373482697301343e-18*10.900545109888053
S(163) : 100.550854827258, 3.2373482697301343e-18 -> 100.550854827258, 9.569128594056805e-19*10.929850545082592
S(164) : 100.550854827258, 9.569128594056805e-19 -> 100.550854827258, 2.6256909918649123e-19*11.00408038363842
S(165) : 100.550854827258, 2.6256909918649123e-19 -> 100.550854827258, 5.795142648853437e-20*11.159845643635304
S(166) : 100.550854827258, 5.795142648853437e-20 -> 100.550854827258, 6.262268466649487e-21*11.105807903514052
S(167) : 100.550854827258, 6.262268466649487e-21 -> 100.550854827258, 9.214329779134396e-22*10.942992612978747
S(168) : 100.550854827258, 9.214329779134396e-22 -> 100.550854827258, 2.440761582386536e-22*10.983950597344203
S(169) : 100.550854827258, 2.440761582386536e-22 -> 100.550854827258, 5.742306395262157e-23*10.98541425280215
S(170) : 100.550854827258, 5.742306395262157e-23 -> 100.550854827258, 1.3448968860485857e-23*10.979026652278847
S(171) : 100.550854827258, 1.3448968860485857e-23 -> 100.550854827258, 3.2119898523719122e-24*10.962143738440256
S(172) : 100.550854827258, 3.2119898523719122e-24 -> 100.550854827258, 8.0633021226402235e-25*11.079310450270029
S(173) : 100.550854827258, 8.0633021226402235e-25 -> 100.550854827258, 1.3409534441367714e-25*11.18718527039677
S(174) : 100.550854827258, 1.3409534441367714e-25 -> 100.550854827258, 1.1839113457000338e-26*11.22491375688126
S(175) : 100.550854827258, 1.1839113457000338e-26 -> 100.550854827258, 7.718303075974927e-28*11.2408973581874
S(176) : 100.550854827258, 7.718303075974927e-28 -> 100.550854827258, 4.0783629030989804e-29*11.44669171307247
S(177) : 100.550854827258, 4.0783629030989804e-29 -> 100.550854827258, 0.0*11.467803332435732
K(178) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.474936253363087
K(179) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.44275374677509
K(180) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.402981400534527
K(181) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.439634153957794
K(182) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.60170764617334
K(183) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.59055362489375
K(184) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.591614500837917
K(185) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.595700566033878
K(186) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.530233351764327
K(187) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.622453271009366
K(188) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.701578901766347
K(189) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.774246452775097
K(190) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.703368889482018
K(191) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.698766522267347
K(192) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.724650128552941
K(193) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.679769767031514
K(194) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.723465339068863
K(195) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.785922001193613
K(196) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.779086734313594
K(197) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.732530882366515
K(198) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.951315154233567
K(199) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.816138469824372
K(200) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.875704423499585
K(201) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.920979217212075
K(202) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.878595714926448
K(203) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.879123680278227
K(204) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.921776952947663
K(205) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.038010448830041
K(206) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.090501296332299
K(207) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.963868524264084
K(208) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*11.936180644708035
K(209) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.019955358150552
K(210) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.226318502453275
K(211) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.330061331907949
K(212) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.231548245771407
K(213) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.302227022586415
K(214) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.363546719148456
K(215) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.378786319466023
K(216) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.41257509548365
K(217) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.465847844551348
K(218) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.477775052928104
K(219) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.42019401766642
K(220) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.324005459555305
K(221) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.315451318035132
K(222) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.34933111918303
K(223) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.399237407087039
K(224) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.442161518772267
K(225) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.447418561866492
K(226) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.474404310715148
K(227) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.580301373922108
K(228) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.54685624833602
K(229) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.546266941432417
K(230) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.446475690367016
K(231) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.427161445685147
K(232) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.449572011313617
K(233) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.432996184807873
K(234) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.571405311417514
K(235) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.531684510444562
K(236) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.495914752710009
K(237) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.621596387780947
K(238) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.671671633392004
K(239) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.787019822560188
K(240) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.807023889693962
K(241) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.691039715035313
K(242) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.632515872664419
K(243) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.572794178192524
K(244) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.524257824938951
K(245) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.547111055793366
K(246) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.452394817011943
K(247) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.513948245097554
K(248) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.450559473359347
K(249) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.517961565538418
K(250) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.552090525995531
K(251) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.56183713819632
K(252) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.497208741674074
K(253) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.371812816062471
K(254) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.337994978852553
K(255) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.37002202002372
K(256) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.251423162986601
K(257) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*12.382981333908756
