K(10) : 1.0, 0.0 -> 1.0, 0.0*250.449997
K(11) : 1.0, 0.0 -> 1.0, 0.0*251.600006
K(12) : 1.0, 0.0 -> 1.0, 0.0*251.949997
K(13) : 1.0, 0.0 -> 1.0, 0.0*252.75
K(14) : 1.0, 0.0 -> 1.0, 0.0*254.649994
K(15) : 1.0, 0.0 -> 1.0, 0.0*254.399994
K(16) : 1.0, 0.0 -> 1.0, 0.0*252.600006
K(17) : 1.0, 0.0 -> 1.0, 0.0*253.050003
K(18) : 1.0, 0.0 -> 1.0, 0.0*254.050003
K(19) : 1.0, 0.0 -> 1.0, 0.0*253.800003
K(20) : 1.0, 0.0 -> 1.0, 0.0*251.899994
K(21) : 1.0, 0.0 -> 1.0, 0.0*253.75
K(22) : 1.0, 0.0 -> 1.0, 0.0*253.100006
K(23) : 1.0, 0.0 -> 1.0, 0.0*252.0
K(24) : 1.0, 0.0 -> 1.0, 0.0*250.899994
K(25) : 1.0, 0.0 -> 1.0, 0.0*250.600006
K(26) : 1.0, 0.0 -> 1.0, 0.0*252.350006
K(27) : 1.0, 0.0 -> 1.0, 0.0*253.600006
K(28) : 1.0, 0.0 -> 1.0, 0.0*252.75
K(29) : 1.0, 0.0 -> 1.0, 0.0*253.699997
K(30) : 1.0, 0.0 -> 1.0, 0.0*254.699997
K(31) : 1.0, 0.0 -> 1.0, 0.0*254.699997
K(32) : 1.0, 0.0 -> 1.0, 0.0*253.850006
K(33) : 1.0, 0.0 -> 1.0, 0.0*254.449997
K(34) : 1.0, 0.0 -> 1.0, 0.0*254.449997
K(35) : 1.0, 0.0 -> 1.0, 0.0*256.5
K(36) : 1.0, 0.0 -> 1.0, 0.0*256.5
K(37) : 1.0, 0.0 -> 1.0, 0.0*255.850006
K(38) : 1.0, 0.0 -> 1.0, 0.0*255.800003
K(39) : 1.0, 0.0 -> 1.0, 0.0*256.600006
K(40) : 1.0, 0.0 -> 1.0, 0.0*255.5
K(41) : 1.0, 0.0 -> 1.0, 0.0*255.5
K(42) : 1.0, 0.0 -> 1.0, 0.0*254.75
K(43) : 1.0, 0.0 -> 1.0, 0.0*254.800003
K(44) : 1.0, 0.0 -> 1.0, 0.0*255.0
K(45) : 1.0, 0.0 -> 1.0, 0.0*254.899994
K(46) : 1.0, 0.0 -> 1.0, 0.0*256.0
K(47) : 1.0, 0.0 -> 1.0, 0.0*256.600006
K(48) : 1.0, 0.0 -> 1.0, 0.0*256.350006
K(49) : 1.0, 0.0 -> 1.0, 0.0*255.5
K(50) : 1.0, 0.0 -> 1.0, 0.0*254.850006
B(51) : 1.0, 0.0 -> 0.0, 0.003935458387986028*254.100006
