B(120) : 100.0, 0.0 -> 0.0, 10.436777375166875*9.581501684412531
K(121) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.5217663871418
K(122) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.440328881727119
K(123) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.449066339044982
K(124) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.444692475328777
K(125) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.462462880613263
K(126) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.495108558974852
K(127) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.496550730051078
K(128) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.414327106967415
K(129) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.434458273069264
K(130) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.36198156479354
K(131) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.306901912329195
K(132) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.317146112482849
K(133) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.316184087652106
K(134) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.378273455240803
K(135) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.393000913301137
K(136) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.347446383994612
K(137) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.36034394958366
K(138) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.368629718459387
K(139) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.42125518881026
K(140) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.29137665096059
K(141) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.22369340591941
K(142) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.14333722539251
K(143) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.128905855773978
K(144) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.164619130357233
K(145) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.312449208144129
K(146) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.274506613580561
K(147) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.280536701806561
K(148) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.283682682882631
K(149) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.210945074871601
K(150) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.382961138463246
K(151) : 0.0, 10.436777375166875 -> 0.0, 10.436777375166875*9.276362791403525
