K(20) : 1.0, 0.0 -> 1.0, 0.0*73.94245273395572
K(21) : 1.0, 0.0 -> 1.0, 0.0*74.01161982594046
K(22) : 1.0, 0.0 -> 1.0, 0.0*74.0584869744489
K(23) : 1.0, 0.0 -> 1.0, 0.0*74.02576525956366
K(24) : 1.0, 0.0 -> 1.0, 0.0*74.06280425486162
K(25) : 1.0, 0.0 -> 1.0, 0.0*74.01151691378381
K(26) : 1.0, 0.0 -> 1.0, 0.0*73.98598923275132
K(27) : 1.0, 0.0 -> 1.0, 0.0*73.96472067989424
K(28) : 1.0, 0.0 -> 1.0, 0.0*73.98414913283216
K(29) : 1.0, 0.0 -> 1.0, 0.0*73.91882665369167
K(30) : 1.0, 0.0 -> 1.0, 0.0*74.08272370678931
K(31) : 1.0, 0.0 -> 1.0, 0.0*74.05600038206256
K(32) : 1.0, 0.0 -> 1.0, 0.0*74.12491444641752
K(33) : 1.0, 0.0 -> 1.0, 0.0*74.01362319661929
K(34) : 1.0, 0.0 -> 1.0, 0.0*74.05936965984162
K(35) : 1.0, 0.0 -> 1.0, 0.0*74.0907386054771
K(36) : 1.0, 0.0 -> 1.0, 0.0*74.11067398820235
K(37) : 1.0, 0.0 -> 1.0, 0.0*74.02960971064586
K(38) : 1.0, 0.0 -> 1.0, 0.0*73.9736508733091
B(39) : 1.0, 0.0 -> 0.0, 0.013532859533975568*73.89421263772095
K(40) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.87792114957969
K(41) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.8420335644125
K(42) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.83225814445562
K(43) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.84734097276177
K(44) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.83123488074321
K(45) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.7382140739332
K(46) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.75136045020585
K(47) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.82007597472321
K(48) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.7453119413057
K(49) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.75759631916667
K(50) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.76155893100135
K(51) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.71675962210878
K(52) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.69668810025642
K(53) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.75190750241796
K(54) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.86166396298893
K(55) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.89784085041971
K(56) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.90583871199476
K(57) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.89761534452062
K(58) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.90603404833035
K(59) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.85400646027522
K(60) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.84689093131703
K(61) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.87713842170781
K(62) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.85357554550352
K(63) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.8762753777264
K(64) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.9258549870141
K(65) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.97285677232904
K(66) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.0009097939847
K(67) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.03099572621662
K(68) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.05426802469718
K(69) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.07109106493304
K(70) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.09667532860324
K(71) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.9746085036716
K(72) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*73.96251562272464
K(73) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.08120134666207
K(74) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.10859261501953
K(75) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.10447549846032
K(76) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.02229917594566
K(77) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.05616899965972
K(78) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.08689710798261
K(79) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.07834350512903
K(80) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.16513892874053
K(81) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.2078132021554
K(82) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.3187673678411
K(83) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.28533750617176
K(84) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.34366155449499
K(85) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.3601526269308
K(86) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.37547198887846
K(87) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.28117633532138
K(88) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.38161596194706
K(89) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.50199920420377
K(90) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.53927086251086
K(91) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.65756687248854
K(92) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.62201360235692
K(93) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.65641397236487
K(94) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.67936985423313
K(95) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.6982881163274
K(96) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.61785443693705
K(97) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.58025514099278
K(98) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.58328158194342
K(99) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.60911634215614
K(100) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.67959490983819
K(101) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.70564856523887
K(102) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.76015444218818
K(103) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.65037867511705
K(104) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.6889456319966
K(105) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.80727797360542
K(106) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.78865510095805
K(107) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.74322967472384
K(108) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.66610481781065
K(109) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.73635551948496
K(110) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.66541735669564
K(111) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.72927296048647
K(112) : 0.0, 0.013532859533975568 -> 0.0, 0.013532859533975568*74.69921403813336
