K(20) : 1.0, 0.0 -> 1.0, 0.0*74.00049696498398
K(21) : 1.0, 0.0 -> 1.0, 0.0*73.9884462895811
K(22) : 1.0, 0.0 -> 1.0, 0.0*73.95616747360486
K(23) : 1.0, 0.0 -> 1.0, 0.0*73.93397400874105
K(24) : 1.0, 0.0 -> 1.0, 0.0*73.89316296708185
B(25) : 1.0, 0.0 -> 0.0, 0.013540658046734379*73.85165451698055
K(26) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.79170837893655
K(27) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.70384326471628
K(28) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.68666829982496
K(29) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.8469261070654
K(30) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.85522127244771
K(31) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.80158582254516
K(32) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.77090066896412
K(33) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.84794552385279
K(34) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.73174695346033
K(35) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.67084299729997
K(36) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.69304979271013
K(37) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.82331034040746
K(38) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.94619207698898
K(39) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.9572652814213
K(40) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.99296981794146
K(41) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*74.02495696216187
K(42) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*74.04552637739562
K(43) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.92840512589943
K(44) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.94238732117034
K(45) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.97444578714206
K(46) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.98900062966214
K(47) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.93363789492034
K(48) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.90379475348131
K(49) : 0.0, 0.013540658046734379 -> 0.0, 0.013540658046734379*73.90813028939947
