K(20) : 1.0, 0.0 -> 1.0, 0.0*74.10631411121214
K(21) : 1.0, 0.0 -> 1.0, 0.0*74.10183743743472
K(22) : 1.0, 0.0 -> 1.0, 0.0*74.11673445541639
K(23) : 1.0, 0.0 -> 1.0, 0.0*74.13331131450428
K(24) : 1.0, 0.0 -> 1.0, 0.0*74.06705537832141
K(25) : 1.0, 0.0 -> 1.0, 0.0*74.2234053742865
K(26) : 1.0, 0.0 -> 1.0, 0.0*74.17512487274617
K(27) : 1.0, 0.0 -> 1.0, 0.0*74.24692173700453
K(28) : 1.0, 0.0 -> 1.0, 0.0*74.18524671699585
K(29) : 1.0, 0.0 -> 1.0, 0.0*74.08446555696844
K(30) : 1.0, 0.0 -> 1.0, 0.0*74.0127723434936
K(31) : 1.0, 0.0 -> 1.0, 0.0*74.0152601735965
K(32) : 1.0, 0.0 -> 1.0, 0.0*74.0586705254517
K(33) : 1.0, 0.0 -> 1.0, 0.0*74.03973569592947
K(34) : 1.0, 0.0 -> 1.0, 0.0*74.05723543290715
K(35) : 1.0, 0.0 -> 1.0, 0.0*73.99084927674197
K(36) : 1.0, 0.0 -> 1.0, 0.0*74.05853427214801
B(37) : 1.0, 0.0 -> 0.0, 0.013524556384174328*73.93957861495136
K(38) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.87616330762341
K(39) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.93866370827341
K(40) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.01698584105478
K(41) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.94871301864048
K(42) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.95851448243224
K(43) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.97285228138882
K(44) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.96832493150865
K(45) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.87126781589652
K(46) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.89073872554255
K(47) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.9346294090599
K(48) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.98016128792902
K(49) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.07341062059527
K(50) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.05465974681863
K(51) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.01160281149636
K(52) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.02320843766236
K(53) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.05897353889983
K(54) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.06421621574654
K(55) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.07257931929553
K(56) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.07358979282678
K(57) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.08940128409961
K(58) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.08331364091468
K(59) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.04371558597896
K(60) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.04920093469573
K(61) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.10005251494556
K(62) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.99492518534736
K(63) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.03570434845017
K(64) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.94216116987805
K(65) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.95021997949843
K(66) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.0647706427305
K(67) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.09196429718297
K(68) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.93531301867301
K(69) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.05313126098069
K(70) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.09215973193892
K(71) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.0611545631054
K(72) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.02220946445223
K(73) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.9464771922571
K(74) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.0946526110889
K(75) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.04770372156895
K(76) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.98134390127024
K(77) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.93631144843447
K(78) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.97870988984538
K(79) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.97737974688717
K(80) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.87599714098799
K(81) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.98786499332061
K(82) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.97733528005315
K(83) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.99450030843899
K(84) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*73.98353240830144
K(85) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.0671515821345
K(86) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.13438541413916
K(87) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.12748429412085
K(88) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.07714564377359
K(89) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.08713482749042
K(90) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.1417206562205
K(91) : 0.0, 0.013524556384174328 -> 0.0, 0.013524556384174328*74.07378824540694
