B(20) : 1.0, 0.0 -> 0.0, 0.01355186109668474*73.79060284529001
K(21) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.72696775792421
K(22) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.72198489491959
K(23) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.71985089917625
K(24) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.77526695837673
K(25) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.71095586637333
K(26) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.78912101891854
K(27) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.80470125954426
K(28) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.85406339670025
K(29) : 0.0, 0.01355186109668474 -> 0.0, 0.01355186109668474*73.87965371078371
S(30) : 0.0, 0.01355186109668474 -> 1.001898177557151, 0.0*73.93067051153957
K(31) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*73.92588665595214
K(32) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*73.91719694097853
K(33) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*73.94629887318092
K(34) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*73.9163901720392
K(35) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.05256927756545
K(36) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.048370026063
K(37) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.05355390508805
K(38) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.03839979081144
K(39) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.1098472119905
K(40) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.01886045861374
K(41) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.03772014858264
K(42) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.0174258202121
K(43) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*73.97685935312823
K(44) : 1.001898177557151, 0.0 -> 1.001898177557151, 0.0*74.0036305968775
B(45) : 1.001898177557151, 0.0 -> 0.0, 0.013553871886443936*73.91970249912212
K(46) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.99738042869106
K(47) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.96394262494854
K(48) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.9268101405751
K(49) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.97360888424919
K(50) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.89403035067235
K(51) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.88564029043201
K(52) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.78152115268702
K(53) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.77750143166627
K(54) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.72154280803916
K(55) : 0.0, 0.013553871886443936 -> 0.0, 0.013553871886443936*73.75495274502082
