K(20) : 1.0, 0.0 -> 1.0, 0.0*74.25006103471411
K(21) : 1.0, 0.0 -> 1.0, 0.0*74.32889384490822
K(22) : 1.0, 0.0 -> 1.0, 0.0*74.38380085970252
K(23) : 1.0, 0.0 -> 1.0, 0.0*74.30777853465786
K(24) : 1.0, 0.0 -> 1.0, 0.0*74.29171331042517
K(25) : 1.0, 0.0 -> 1.0, 0.0*74.35206322312283
K(26) : 1.0, 0.0 -> 1.0, 0.0*74.24476829581985
K(27) : 1.0, 0.0 -> 1.0, 0.0*74.16646402453632
K(28) : 1.0, 0.0 -> 1.0, 0.0*74.18455892530123
K(29) : 1.0, 0.0 -> 1.0, 0.0*74.26925459791501
K(30) : 1.0, 0.0 -> 1.0, 0.0*74.31235372609804
K(31) : 1.0, 0.0 -> 1.0, 0.0*74.26159061721984
K(32) : 1.0, 0.0 -> 1.0, 0.0*74.36998767564071
K(33) : 1.0, 0.0 -> 1.0, 0.0*74.33932354607589
K(34) : 1.0, 0.0 -> 1.0, 0.0*74.27993730948813
K(35) : 1.0, 0.0 -> 1.0, 0.0*74.23674450813648
K(36) : 1.0, 0.0 -> 1.0, 0.0*74.22195769072901
K(37) : 1.0, 0.0 -> 1.0, 0.0*74.24746796918504
K(38) : 1.0, 0.0 -> 1.0, 0.0*74.23927865507206
B(39) : 1.0, 0.0 -> 0.0, 0.013476619451260973*74.20258497441155
K(40) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.26811206950653
K(41) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.21903347861002
K(42) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.22213236162726
K(43) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.20657873673741
K(44) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.25884063294558
K(45) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.24621848435794
K(46) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.2638095571809
K(47) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.2542207195714
K(48) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.24093528669742
K(49) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.34504233798907
K(50) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.36665310886232
K(51) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.31038590459065
K(52) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.25405279976773
K(53) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.2593942648524
K(54) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.17883876753127
K(55) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.20442238069785
K(56) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.16865786754646
K(57) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.1011250485431
K(58) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.12185640016315
K(59) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.09891217011449
K(60) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.14830614990227
K(61) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.17601706867325
K(62) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.23818872965681
K(63) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.23796131019523
K(64) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.25899870806978
K(65) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.21712060504385
K(66) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.28390379944938
K(67) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.25116781627834
K(68) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.30040382518011
K(69) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.29986807221023
K(70) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.33718637624689
K(71) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.26728801556035
K(72) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.29992549241994
K(73) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.24722625221091
K(74) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.28480689232427
K(75) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.37517549908846
K(76) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.36898635366043
K(77) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.56221786271277
K(78) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.50659380533568
K(79) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.51201892756569
K(80) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.51335239072837
K(81) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.52118446655662
K(82) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.48330504915629
K(83) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.46976260190185
K(84) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.46225093603653
K(85) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.39452998301776
K(86) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.41470547285331
K(87) : 0.0, 0.013476619451260973 -> 0.0, 0.013476619451260973*74.42042970154567
