K(3) : 1000.0, 0.0 -> 1000.0, 0.0*14.909227310294087
K(4) : 1000.0, 0.0 -> 1000.0, 0.0*14.922248785065248
B(5) : 1000.0, 0.0 -> 0.0, 67.09828935684038*14.903509606360096
K(6) : 0.0, 67.09828935684038 -> 0.0, 67.09828935684038*14.906097051702572
K(7) : 0.0, 67.09828935684038 -> 0.0, 67.09828935684038*14.884009508375243
S(8) : 0.0, 67.09828935684038 -> 1000.1456681019481, 0.0*14.90568057231682
K(9) : 1000.1456681019481, 0.0 -> 1000.1456681019481, 0.0*14.924679074577089
B(10) : 1000.1456681019481, 0.0 -> 0.0, 67.07423153124542*14.911026861873875
K(11) : 0.0, 67.07423153124542 -> 0.0, 67.07423153124542*14.919054914791792
S(12) : 0.0, 67.07423153124542 -> 1001.237592771159, 0.0*14.927306208566089
B(13) : 1001.237592771159, 0.0 -> 0.0, 67.12902555481764*14.91512180455453
S(14) : 0.0, 67.12902555481764 -> 1003.4158045144718, 0.0*14.947569940443739
K(15) : 1003.4158045144718, 0.0 -> 1003.4158045144718, 0.0*15.008515851069522
K(16) : 1003.4158045144718, 0.0 -> 1003.4158045144718, 0.0*15.027743784920535
K(17) : 1003.4158045144718, 0.0 -> 1003.4158045144718, 0.0*15.025840390728625
K(18) : 1003.4158045144718, 0.0 -> 1003.4158045144718, 0.0*15.08285068880313
K(19) : 1003.4158045144718, 0.0 -> 1003.4158045144718, 0.0*15.098679166927298
K(20) : 1003.4158045144718, 0.0 -> 1003.4158045144718, 0.0*15.128310721951108
B(21) : 1003.4158045144718, 0.0 -> 0.0, 66.43172136352524*15.10446792464727
K(22) : 0.0, 66.43172136352524 -> 0.0, 66.43172136352524*15.066176578629133
S(23) : 0.0, 66.43172136352524 -> 1003.3501769689585, 0.0*15.10348002994627
K(24) : 1003.3501769689585, 0.0 -> 1003.3501769689585, 0.0*15.088665239977537
B(25) : 1003.3501769689585, 0.0 -> 0.0, 66.48043064078009*15.092413922383477
K(26) : 0.0, 66.48043064078009 -> 0.0, 66.48043064078009*15.049449844893514
K(27) : 0.0, 66.48043064078009 -> 0.0, 66.48043064078009*15.07211910271203
S(28) : 0.0, 66.48043064078009 -> 1002.0050974226837, 0.0*15.072181208285357
K(29) : 1002.0050974226837, 0.0 -> 1002.0050974226837, 0.0*15.119352933651818
K(30) : 1002.0050974226837, 0.0 -> 1002.0050974226837, 0.0*15.104160476166474
B(31) : 1002.0050974226837, 0.0 -> 0.0, 66.7278221059184*15.016301533596899
K(32) : 0.0, 66.7278221059184 -> 0.0, 66.7278221059184*14.915072835821245
K(33) : 0.0, 66.7278221059184 -> 0.0, 66.7278221059184*14.972428947139022
S(34) : 0.0, 66.7278221059184 -> 1002.0239174903274, 0.0*15.016583575885257
K(35) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.033462723377873
K(36) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.049095361694764
K(37) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.109488837338818
K(38) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.12604141984011
K(39) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.131826635173624
K(40) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.140056058159816
K(41) : 1002.0239174903274, 0.0 -> 1002.0239174903274, 0.0*15.158604346013341
B(42) : 1002.0239174903274, 0.0 -> 0.0, 66.26683997147904*15.121045728475874
K(43) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*15.051898273755505
K(44) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*15.087684818557406
K(45) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*15.080298469103397
K(46) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*14.998825826541736
K(47) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*14.981801715378937
K(48) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*14.979632239964715
K(49) : 0.0, 66.26683997147904 -> 0.0, 66.26683997147904*14.946686001983952
S(50) : 0.0, 66.26683997147904 -> 995.0202429194767, 0.0*15.015356750793142
K(51) : 995.0202429194767, 0.0 -> 995.0202429194767, 0.0*15.03442799438658
K(52) : 995.0202429194767, 0.0 -> 995.0202429194767, 0.0*15.061444384326098
B(53) : 995.0202429194767, 0.0 -> 0.0, 66.39377073264214*14.986650583927151
K(54) : 0.0, 66.39377073264214 -> 0.0, 66.39377073264214*14.960991274867029
S(55) : 0.0, 66.39377073264214 -> 997.0013481030414, 0.0*15.016489304664105
K(56) : 997.0013481030414, 0.0 -> 997.0013481030414, 0.0*15.005257928440889
B(57) : 997.0013481030414, 0.0 -> 0.0, 66.62708042734205*14.96390569282543
K(58) : 0.0, 66.62708042734205 -> 0.0, 66.62708042734205*14.919586084430081
K(59) : 0.0, 66.62708042734205 -> 0.0, 66.62708042734205*14.907003522600913
S(60) : 0.0, 66.62708042734205 -> 995.1393832630166, 0.0*14.935959626029732
B(61) : 995.1393832630166, 0.0 -> 0.0, 66.92010892687966*14.870558330237579
K(62) : 0.0, 66.92010892687966 -> 0.0, 66.92010892687966*14.888087921504331
S(63) : 0.0, 66.92010892687966 -> 996.8034578869158, 0.0*14.8954249159408
B(64) : 996.8034578869158, 0.0 -> 0.0, 66.94957042019361*14.88887010970657
K(65) : 0.0, 66.94957042019361 -> 0.0, 66.94957042019361*14.852403024397194
S(66) : 0.0, 66.94957042019361 -> 997.3226139530522, 0.0*14.896624544318742
K(67) : 997.3226139530522, 0.0 -> 997.3226139530522, 0.0*14.889856316570722
K(68) : 997.3226139530522, 0.0 -> 997.3226139530522, 0.0*14.943922659322793
K(69) : 997.3226139530522, 0.0 -> 997.3226139530522, 0.0*14.928532413040408
B(70) : 997.3226139530522, 0.0 -> 0.0, 66.88854706176072*14.910214943556579
S(71) : 0.0, 66.88854706176072 -> 999.4243325597349, 0.0*14.941636146423225
K(72) : 999.4243325597349, 0.0 -> 999.4243325597349, 0.0*14.989833925078651
K(73) : 999.4243325597349, 0.0 -> 999.4243325597349, 0.0*15.051877717332836
K(74) : 999.4243325597349, 0.0 -> 999.4243325597349, 0.0*15.0965084318773
K(75) : 999.4243325597349, 0.0 -> 999.4243325597349, 0.0*15.087376556671344
K(76) : 999.4243325597349, 0.0 -> 999.4243325597349, 0.0*15.117836888902376
B(77) : 999.4243325597349, 0.0 -> 0.0, 66.1926534539542*15.098719879162537
K(78) : 0.0, 66.1926534539542 -> 0.0, 66.1926534539542*15.093441133678642
S(79) : 0.0, 66.1926534539542 -> 1000.2404539877001, 0.0*15.111049365674706
K(80) : 1000.2404539877001, 0.0 -> 1000.2404539877001, 0.0*15.102099548481533
B(81) : 1000.2404539877001, 0.0 -> 0.0, 66.23522134877244*15.101337832341038
S(82) : 0.0, 66.23522134877244 -> 1003.8847761935957, 0.0*15.15635874314476
K(83) : 1003.8847761935957, 0.0 -> 1003.8847761935957, 0.0*15.170556040317301
B(84) : 1003.8847761935957, 0.0 -> 0.0, 66.30800302437977*15.139722664012256
K(85) : 0.0, 66.30800302437977 -> 0.0, 66.30800302437977*15.122745961810049
K(86) : 0.0, 66.30800302437977 -> 0.0, 66.30800302437977*15.104173987873793
K(87) : 0.0, 66.30800302437977 -> 0.0, 66.30800302437977*15.113217157362808
S(88) : 0.0, 66.30800302437977 -> 1004.4523618743394, 0.0*15.148282500756775
K(89) : 1004.4523618743394, 0.0 -> 1004.4523618743394, 0.0*15.173879477005327
K(90) : 1004.4523618743394, 0.0 -> 1004.4523618743394, 0.0*15.197847044414877
K(91) : 1004.4523618743394, 0.0 -> 1004.4523618743394, 0.0*15.202292753659009
K(92) : 1004.4523618743394, 0.0 -> 1004.4523618743394, 0.0*15.225893319490133
K(93) : 1004.4523618743394, 0.0 -> 1004.4523618743394, 0.0*15.248155343935956
B(94) : 1004.4523618743394, 0.0 -> 0.0, 66.01968407140875*15.214437572707794
K(95) : 0.0, 66.01968407140875 -> 0.0, 66.01968407140875*15.19586098066766
S(96) : 0.0, 66.01968407140875 -> 1005.8271247288579, 0.0*15.23526110244525
K(97) : 1005.8271247288579, 0.0 -> 1005.8271247288579, 0.0*15.23730298589167
K(98) : 1005.8271247288579, 0.0 -> 1005.8271247288579, 0.0*15.26162608855297
B(99) : 1005.8271247288579, 0.0 -> 0.0, 66.20333677373718*15.192997418943827
K(100) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.185832960898097
K(101) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.179694522236652
K(102) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.158925765138163
K(103) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.15606796432098
K(104) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.144739909402059
K(105) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.110488849297765
K(106) : 0.0, 66.20333677373718 -> 0.0, 66.20333677373718*15.114131070589531
S(107) : 0.0, 66.20333677373718 -> 1000.7317433194506, 0.0*15.116031790658024
K(108) : 1000.7317433194506, 0.0 -> 1000.7317433194506, 0.0*15.142824118450683
K(109) : 1000.7317433194506, 0.0 -> 1000.7317433194506, 0.0*15.203546291406155
K(110) : 1000.7317433194506, 0.0 -> 1000.7317433194506, 0.0*15.165698161757339
B(111) : 1000.7317433194506, 0.0 -> 0.0, 66.16587366951227*15.124590484785891
K(112) : 0.0, 66.16587366951227 -> 0.0, 66.16587366951227*15.142488181263875
K(113) : 0.0, 66.16587366951227 -> 0.0, 66.16587366951227*15.051518459961688
K(114) : 0.0, 66.16587366951227 -> 0.0, 66.16587366951227*15.082715007538814
