K(20) : 1.0, 0.0 -> 1.0, 0.0*74.6334260228147
K(21) : 1.0, 0.0 -> 1.0, 0.0*74.66205242287549
K(22) : 1.0, 0.0 -> 1.0, 0.0*74.67474921660981
K(23) : 1.0, 0.0 -> 1.0, 0.0*74.74391157121627
K(24) : 1.0, 0.0 -> 1.0, 0.0*74.79422140119485
K(25) : 1.0, 0.0 -> 1.0, 0.0*74.93911629554643
K(26) : 1.0, 0.0 -> 1.0, 0.0*74.89448792153358
K(27) : 1.0, 0.0 -> 1.0, 0.0*75.01972146000965
K(28) : 1.0, 0.0 -> 1.0, 0.0*75.03977819132953
K(29) : 1.0, 0.0 -> 1.0, 0.0*74.98190997487791
K(30) : 1.0, 0.0 -> 1.0, 0.0*75.05356873893511
K(31) : 1.0, 0.0 -> 1.0, 0.0*75.12603003785921
K(32) : 1.0, 0.0 -> 1.0, 0.0*75.04967500679041
K(33) : 1.0, 0.0 -> 1.0, 0.0*75.0835956282818
K(34) : 1.0, 0.0 -> 1.0, 0.0*75.07652272978922
K(35) : 1.0, 0.0 -> 1.0, 0.0*75.10176332420318
K(36) : 1.0, 0.0 -> 1.0, 0.0*75.11541901834087
K(37) : 1.0, 0.0 -> 1.0, 0.0*75.10722402269158
K(38) : 1.0, 0.0 -> 1.0, 0.0*75.10989250965389
K(39) : 1.0, 0.0 -> 1.0, 0.0*75.18913664308758
K(40) : 1.0, 0.0 -> 1.0, 0.0*75.2202055451102
K(41) : 1.0, 0.0 -> 1.0, 0.0*75.24660305029967
K(42) : 1.0, 0.0 -> 1.0, 0.0*75.37902567347223
K(43) : 1.0, 0.0 -> 1.0, 0.0*75.43074143841552
K(44) : 1.0, 0.0 -> 1.0, 0.0*75.37835155239705
K(45) : 1.0, 0.0 -> 1.0, 0.0*75.36166839726161
K(46) : 1.0, 0.0 -> 1.0, 0.0*75.292989462253
K(47) : 1.0, 0.0 -> 1.0, 0.0*75.29860626793618
K(48) : 1.0, 0.0 -> 1.0, 0.0*75.27854686341479
K(49) : 1.0, 0.0 -> 1.0, 0.0*75.37123793207057
K(50) : 1.0, 0.0 -> 1.0, 0.0*75.37279250995427
K(51) : 1.0, 0.0 -> 1.0, 0.0*75.47600128420763
K(52) : 1.0, 0.0 -> 1.0, 0.0*75.47314276194433
K(53) : 1.0, 0.0 -> 1.0, 0.0*75.51039454925376
K(54) : 1.0, 0.0 -> 1.0, 0.0*75.49203250462897
K(55) : 1.0, 0.0 -> 1.0, 0.0*75.46526632543302
K(56) : 1.0, 0.0 -> 1.0, 0.0*75.46091458486599
K(57) : 1.0, 0.0 -> 1.0, 0.0*75.43367159910116
K(58) : 1.0, 0.0 -> 1.0, 0.0*75.52462183623123
K(59) : 1.0, 0.0 -> 1.0, 0.0*75.449593346982
K(60) : 1.0, 0.0 -> 1.0, 0.0*75.41463870095976
