K(2) : 1.0, 0.0 -> 1.0, 0.0*1170.0
K(3) : 1.0, 0.0 -> 1.0, 0.0*1145.209961
K(4) : 1.0, 0.0 -> 1.0, 0.0*1149.959961
K(5) : 1.0, 0.0 -> 1.0, 0.0*1154.140015
K(6) : 1.0, 0.0 -> 1.0, 0.0*1120.01001
B(7) : 1.0, 0.0 -> 0.0, 0.0009099181073703367*1099.0
K(8) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1092.73999
K(9) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1081.880005
K(10) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1047.030029
K(11) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1046.0
K(12) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1063.0
K(13) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*998.0
K(14) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1011.630005
K(15) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1022.820007
K(16) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1013.909973
K(17) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*993.409973
K(18) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1041.329956
K(19) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1020.0
K(2) : 1.0, 0.0 -> 1.0, 0.0*1170.0
K(3) : 1.0, 0.0 -> 1.0, 0.0*1145.209961
K(4) : 1.0, 0.0 -> 1.0, 0.0*1149.959961
K(5) : 1.0, 0.0 -> 1.0, 0.0*1154.140015
K(6) : 1.0, 0.0 -> 1.0, 0.0*1120.01001
B(7) : 1.0, 0.0 -> 0.0, 0.0009099181073703367*1099.0
K(8) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1092.73999
K(9) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1081.880005
K(10) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1047.030029
K(11) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1046.0
K(12) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1063.0
K(13) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*998.0
K(14) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1011.630005
K(15) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1022.820007
K(16) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1013.909973
K(17) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*993.409973
K(18) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1041.329956
K(19) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1020.0
K(2) : 1.0, 0.0 -> 1.0, 0.0*1170.0
K(3) : 1.0, 0.0 -> 1.0, 0.0*1145.209961
K(4) : 1.0, 0.0 -> 1.0, 0.0*1149.959961
K(5) : 1.0, 0.0 -> 1.0, 0.0*1154.140015
K(6) : 1.0, 0.0 -> 1.0, 0.0*1120.01001
B(7) : 1.0, 0.0 -> 0.0, 0.0009099181073703367*1099.0
K(8) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1092.73999
K(9) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1081.880005
K(10) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1047.030029
K(11) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1046.0
K(12) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1063.0
K(13) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*998.0
K(14) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1011.630005
K(15) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1022.820007
K(16) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1013.909973
K(17) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*993.409973
K(18) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1041.329956
K(19) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1020.0
K(2) : 1.0, 0.0 -> 1.0, 0.0*1170.0
K(3) : 1.0, 0.0 -> 1.0, 0.0*1145.209961
K(4) : 1.0, 0.0 -> 1.0, 0.0*1149.959961
K(5) : 1.0, 0.0 -> 1.0, 0.0*1154.140015
K(6) : 1.0, 0.0 -> 1.0, 0.0*1120.01001
B(7) : 1.0, 0.0 -> 0.0, 0.0009099181073703367*1099.0
K(8) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1092.73999
K(9) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1081.880005
K(10) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1047.030029
K(11) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1046.0
K(12) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1063.0
K(13) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*998.0
K(14) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1011.630005
K(15) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1022.820007
K(16) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1013.909973
K(17) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*993.409973
K(18) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1041.329956
K(19) : 0.0, 0.0009099181073703367 -> 0.0, 0.0009099181073703367*1020.0
