K(10) : 1.0, 0.0 -> 1.0, 0.0*865.0
K(11) : 1.0, 0.0 -> 1.0, 0.0*874.22998
K(12) : 1.0, 0.0 -> 1.0, 0.0*873.599976
K(13) : 1.0, 0.0 -> 1.0, 0.0*910.659973
K(14) : 1.0, 0.0 -> 1.0, 0.0*901.940002
K(15) : 1.0, 0.0 -> 1.0, 0.0*909.619995
K(16) : 1.0, 0.0 -> 1.0, 0.0*914.859985
K(17) : 1.0, 0.0 -> 1.0, 0.0*926.070007
K(18) : 1.0, 0.0 -> 1.0, 0.0*933.539978
K(19) : 1.0, 0.0 -> 1.0, 0.0*926.119995
K(20) : 1.0, 0.0 -> 1.0, 0.0*936.950012
K(21) : 1.0, 0.0 -> 1.0, 0.0*931.97998
K(22) : 1.0, 0.0 -> 1.0, 0.0*925.320007
K(23) : 1.0, 0.0 -> 1.0, 0.0*931.530029
K(24) : 1.0, 0.0 -> 1.0, 0.0*932.950012
K(25) : 1.0, 0.0 -> 1.0, 0.0*940.0
K(26) : 1.0, 0.0 -> 1.0, 0.0*935.669983
K(27) : 1.0, 0.0 -> 1.0, 0.0*921.0
K(28) : 1.0, 0.0 -> 1.0, 0.0*931.469971
K(29) : 1.0, 0.0 -> 1.0, 0.0*935.0
K(30) : 1.0, 0.0 -> 1.0, 0.0*947.919983
K(31) : 1.0, 0.0 -> 1.0, 0.0*952.97998
K(32) : 1.0, 0.0 -> 1.0, 0.0*957.330017
K(33) : 1.0, 0.0 -> 1.0, 0.0*969.700012
K(34) : 1.0, 0.0 -> 1.0, 0.0*970.309998
K(35) : 1.0, 0.0 -> 1.0, 0.0*975.02002
K(36) : 1.0, 0.0 -> 1.0, 0.0*968.950012
K(37) : 1.0, 0.0 -> 1.0, 0.0*969.460022
K(38) : 1.0, 0.0 -> 1.0, 0.0*976.549988
K(39) : 1.0, 0.0 -> 1.0, 0.0*983.159973
K(40) : 1.0, 0.0 -> 1.0, 0.0*980.0
K(41) : 1.0, 0.0 -> 1.0, 0.0*982.349976
K(42) : 1.0, 0.0 -> 1.0, 0.0*984.5
K(43) : 1.0, 0.0 -> 1.0, 0.0*939.559998
B(44) : 1.0, 0.0 -> 0.0, 0.0010505195116807542*951.909973
K(45) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*959.919983
K(46) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*933.969971
K(47) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*940.0
K(48) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*949.960022
K(49) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*957.52002
K(50) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*953.640015
K(51) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*958.700012
K(52) : 0.0, 0.0010505195116807542 -> 0.0, 0.0010505195116807542*956.830017
S(53) : 0.0, 0.0010505195116807542 -> 1.0188988995916317, 0.0*969.900024
K(54) : 1.0188988995916317, 0.0 -> 1.0188988995916317, 0.0*942.460022
B(55) : 1.0188988995916317, 0.0 -> 0.0, 0.0010967695366971278*929.0
K(56) : 0.0, 0.0010967695366971278 -> 0.0, 0.0010967695366971278*929.919983
K(57) : 0.0, 0.0010967695366971278 -> 0.0, 0.0010967695366971278*926.049988
