K(10) : 1.0, 0.0 -> 1.0, 0.0*145.789993
K(11) : 1.0, 0.0 -> 1.0, 0.0*147.089996
K(12) : 1.0, 0.0 -> 1.0, 0.0*146.669998
K(13) : 1.0, 0.0 -> 1.0, 0.0*149.5
K(14) : 1.0, 0.0 -> 1.0, 0.0*151.740005
K(15) : 1.0, 0.0 -> 1.0, 0.0*153.339996
K(16) : 1.0, 0.0 -> 1.0, 0.0*153.600006
K(17) : 1.0, 0.0 -> 1.0, 0.0*150.169998
K(18) : 1.0, 0.0 -> 1.0, 0.0*151.449997
K(19) : 1.0, 0.0 -> 1.0, 0.0*150.710007
K(20) : 1.0, 0.0 -> 1.0, 0.0*151.490005
K(21) : 1.0, 0.0 -> 1.0, 0.0*150.229996
K(22) : 1.0, 0.0 -> 1.0, 0.0*150.309998
K(23) : 1.0, 0.0 -> 1.0, 0.0*150.399994
K(24) : 1.0, 0.0 -> 1.0, 0.0*150.169998
K(25) : 1.0, 0.0 -> 1.0, 0.0*150.110001
B(26) : 1.0, 0.0 -> 0.0, 0.006756756756756757*148.0
K(27) : 0.0, 0.006756756756756757 -> 0.0, 0.006756756756756757*144.720001
K(28) : 0.0, 0.006756756756756757 -> 0.0, 0.006756756756756757*148.449997
K(29) : 0.0, 0.006756756756756757 -> 0.0, 0.006756756756756757*148.080002
K(30) : 0.0, 0.006756756756756757 -> 0.0, 0.006756756756756757*148.520004
K(31) : 0.0, 0.006756756756756757 -> 0.0, 0.006756756756756757*148.509995
K(32) : 0.0, 0.006756756756756757 -> 0.0, 0.006756756756756757*150.300003
S(33) : 0.0, 0.006756756756756757 -> 1.028581054054054, 0.0*152.229996
K(34) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*151.970001
K(35) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*152.699997
K(36) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*151.75
K(37) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*151.850006
K(38) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*153.639999
K(39) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*153.410004
K(40) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*153.270004
K(41) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*154.080002
K(42) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*154.770004
K(43) : 1.028581054054054, 0.0 -> 1.028581054054054, 0.0*148.169998
B(44) : 1.028581054054054, 0.0 -> 0.0, 0.0068503569440972086*150.149994
K(45) : 0.0, 0.0068503569440972086 -> 0.0, 0.0068503569440972086*151.259995
K(46) : 0.0, 0.0068503569440972086 -> 0.0, 0.0068503569440972086*147.669998
K(47) : 0.0, 0.0068503569440972086 -> 0.0, 0.0068503569440972086*149.589996
K(48) : 0.0, 0.0068503569440972086 -> 0.0, 0.0068503569440972086*151.710007
K(49) : 0.0, 0.0068503569440972086 -> 0.0, 0.0068503569440972086*152.880005
S(50) : 0.0, 0.0068503569440972086 -> 1.0437203908530077, 0.0*152.360001
K(51) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*153.009995
K(52) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*152.720001
K(53) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*156.25
K(54) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*152.839996
K(55) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*150.919998
K(56) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*152.279999
K(57) : 1.0437203908530077, 0.0 -> 1.0437203908530077, 0.0*151.899994
B(58) : 1.0437203908530077, 0.0 -> 0.0, 0.0068792537831120085*151.720001
K(59) : 0.0, 0.0068792537831120085 -> 0.0, 0.0068792537831120085*149.0
K(60) : 0.0, 0.0068792537831120085 -> 0.0, 0.0068792537831120085*149.029999
K(61) : 0.0, 0.0068792537831120085 -> 0.0, 0.0068792537831120085*149.25
K(62) : 0.0, 0.0068792537831120085 -> 0.0, 0.0068792537831120085*151.690002
K(63) : 0.0, 0.0068792537831120085 -> 0.0, 0.0068792537831120085*153.369995
S(64) : 0.0, 0.0068792537831120085 -> 1.076534458915467, 0.0*156.490005
K(65) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*158.740005
K(66) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*160.130005
K(67) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*160.25
K(68) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*159.660004
K(69) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*163.589996
K(70) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*164.800003
K(71) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*164.160004
K(72) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*164.639999
K(73) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*165.009995
K(74) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*166.009995
K(75) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*174.699997
K(76) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*169.070007
K(77) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*172.0
K(78) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*169.820007
K(79) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*170.300003
K(80) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*169.300003
K(81) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*168.970001
K(82) : 1.076534458915467, 0.0 -> 1.076534458915467, 0.0*169.949997
