B(20) : 1.0, 0.0 -> 0.0, 0.01354535151444312*73.82606490010402
K(21) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.90949663249035
K(22) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.92083871711594
K(23) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.95422897392868
K(24) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.9938607654622
K(25) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.96020034949478
K(26) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.94425609496602
K(27) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.02314735776659
K(28) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.98402788984077
K(29) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.9768057841704
K(30) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.00592735527195
K(31) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.94820368361269
K(32) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.88515823950738
K(33) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.89898080084582
K(34) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.99263060029203
K(35) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.07476951729485
K(36) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.06581514156795
K(37) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.02452510567394
K(38) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.02188292088589
K(39) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.09147773068717
K(40) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.1258691781493
K(41) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.09130812459556
K(42) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.96974476626808
K(43) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.92766293204227
K(44) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.82572442928247
K(45) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*73.92672099237328
K(46) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.10633940972902
K(47) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.17654693194602
K(48) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.08059736161407
K(49) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.07239239401012
K(50) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.05316615187874
K(51) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.1369789247452
K(52) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.1204653077505
K(53) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.10335931861277
K(54) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.16084667670499
K(55) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.19290372739636
K(56) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.17394878426866
K(57) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.29692586518037
K(58) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.30871956000371
K(59) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.34952443394286
K(60) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.35397182367159
K(61) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.38818585382275
K(62) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.42559819915255
K(63) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.38353189165437
K(64) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.36739916425142
K(65) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.32775003111884
K(66) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.39644169278967
K(67) : 0.0, 0.01354535151444312 -> 0.0, 0.01354535151444312*74.33179690895588
