K(20) : 1.0, 0.0 -> 1.0, 0.0*73.87690149872968
K(21) : 1.0, 0.0 -> 1.0, 0.0*73.88292779017048
K(22) : 1.0, 0.0 -> 1.0, 0.0*73.91673033435012
K(23) : 1.0, 0.0 -> 1.0, 0.0*73.90789345971955
K(24) : 1.0, 0.0 -> 1.0, 0.0*74.0057679892982
K(25) : 1.0, 0.0 -> 1.0, 0.0*73.97082085198471
K(26) : 1.0, 0.0 -> 1.0, 0.0*73.97208511709695
K(27) : 1.0, 0.0 -> 1.0, 0.0*73.91009769030232
K(28) : 1.0, 0.0 -> 1.0, 0.0*73.85607261930095
K(29) : 1.0, 0.0 -> 1.0, 0.0*73.86857463616386
K(30) : 1.0, 0.0 -> 1.0, 0.0*73.8954647241425
K(31) : 1.0, 0.0 -> 1.0, 0.0*73.99879280399723
K(32) : 1.0, 0.0 -> 1.0, 0.0*74.02979125225265
K(33) : 1.0, 0.0 -> 1.0, 0.0*74.04895956778249
K(34) : 1.0, 0.0 -> 1.0, 0.0*74.08324690103511
K(35) : 1.0, 0.0 -> 1.0, 0.0*74.00989900326458
K(36) : 1.0, 0.0 -> 1.0, 0.0*74.02600597829151
K(37) : 1.0, 0.0 -> 1.0, 0.0*74.03726515639421
K(38) : 1.0, 0.0 -> 1.0, 0.0*74.013234674597
K(39) : 1.0, 0.0 -> 1.0, 0.0*74.08356692184442
K(40) : 1.0, 0.0 -> 1.0, 0.0*74.06036847904875
K(41) : 1.0, 0.0 -> 1.0, 0.0*73.97334396350112
K(42) : 1.0, 0.0 -> 1.0, 0.0*74.04277052878368
K(43) : 1.0, 0.0 -> 1.0, 0.0*73.90262709625988
B(44) : 1.0, 0.0 -> 0.0, 0.013529289263317052*73.91371272631245
K(45) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.9625385444287
K(46) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.97593847023016
K(47) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.93947561445091
K(48) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8969259769927
K(49) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.94322191653771
K(50) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*74.01448582193902
K(51) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*74.000820580932
K(52) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.92418634975184
K(53) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.86275409550618
K(54) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.88318004260786
K(55) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.9462047095299
K(56) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90623809601738
K(57) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.85868017570127
K(58) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.89696244636806
K(59) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.92296089155973
K(60) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.94743611857672
K(61) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.91682500869024
K(62) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90584522328967
K(63) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.84569992197791
K(64) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8897410826917
K(65) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90750705600564
K(66) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.86845686051322
K(67) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.95033906724356
K(68) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.9670693362966
K(69) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.96772504879424
K(70) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.93774210511546
K(71) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90852226254
K(72) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.96848250539327
K(73) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.94343643084461
K(74) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.88551170233015
K(75) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.93155198317965
K(76) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.86360823530867
K(77) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.84480133384075
K(78) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.84670376234213
K(79) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.71933641550592
K(80) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.722293558984
K(81) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.82953476366767
K(82) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.82747044426569
K(83) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.82860268138738
K(84) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.79120613986278
K(85) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.69825327366694
K(86) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.70666529626784
K(87) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.81640320784483
K(88) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8009898234847
K(89) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.83304781143711
K(90) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.80491903431815
K(91) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.74605730634032
K(92) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.73742871551839
K(93) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.75083987304214
K(94) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.70848037882133
K(95) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.72322981550614
K(96) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.67518323817153
K(97) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.76930836294814
K(98) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.87291312975918
K(99) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8641181732924
K(100) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.91254011923998
K(101) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90609244815694
K(102) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.84244242247254
K(103) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8309863927943
K(104) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.78522089266545
K(105) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.73035773273048
K(106) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.58920686248022
K(107) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.58770680768048
K(108) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.69649778821993
K(109) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.62971268090683
K(110) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.68232729011771
K(111) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.68559766983883
K(112) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.74769316815907
K(113) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.65466023196956
K(114) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.64520548633183
K(115) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.61751020881294
K(116) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.57344970803608
K(117) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.51598812013225
K(118) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.47490977442206
K(119) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.59642336884288
K(120) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.56091199176545
K(121) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.58947460640309
K(122) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.67030345894436
K(123) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.81871252124624
K(124) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.82876581769737
K(125) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.85087583512905
K(126) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.81910954276306
K(127) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.80191344545409
K(128) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.84368884946652
K(129) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.91020754352368
K(130) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.93133609539787
K(131) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.91530004336362
K(132) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.79827219743062
K(133) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.78617329725672
K(134) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.92104780979639
K(135) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90899354041147
K(136) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8922992688376
K(137) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.98773986321842
K(138) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.97191867934917
K(139) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.90005358922464
K(140) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.82800523449501
K(141) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8676782476625
K(142) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.8692082369864
K(143) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.86954061826123
K(144) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.84691226646717
K(145) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.78402422651364
K(146) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.75107646515329
K(147) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.80103276066541
K(148) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.71532183071986
K(149) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.78294781765364
K(150) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.72675422324038
K(151) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.70543677920034
K(152) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.64340523968616
K(153) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.58791172183099
K(154) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.54096198675347
K(155) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.53201178216472
K(156) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.53767282747067
K(157) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.57518696290896
K(158) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.57261381915698
K(159) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.6387968337572
K(160) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.64488662036916
K(161) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.621518497758
K(162) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.51474715438707
K(163) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.48017733059069
K(164) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.46637272029633
K(165) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.52687741305243
K(166) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.34461086158802
K(167) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.38476669890505
K(168) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.30110048619295
K(169) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.37683831781963
K(170) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.29238860572582
K(171) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.20574228988251
K(172) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.24723833999839
K(173) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.23129889462984
K(174) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.27515938963886
K(175) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.31861731015681
K(176) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.36730584959463
K(177) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.3351318055625
K(178) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.33905396085089
K(179) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.33813479088363
K(180) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.28857714868636
K(181) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.32871590847726
K(182) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.26188074350802
K(183) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.23917080213604
K(184) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.29909777290331
K(185) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.22654868964209
K(186) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.17855058748988
K(187) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.22742503088925
K(188) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.16652234589031
K(189) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.23181827937549
K(190) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.17711404646103
K(191) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.23667451394638
K(192) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.29943822454058
K(193) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.41222222237295
K(194) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.43801123689539
K(195) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.59801436783283
K(196) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.67407958250321
K(197) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.79752947958119
K(198) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.74449930623015
K(199) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.64487217927302
K(200) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.71871867493478
K(201) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.73699360805949
K(202) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.75082713071636
K(203) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.71838428282408
K(204) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.72819471541737
K(205) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.71496623192454
K(206) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.67901563127441
K(207) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.66377290987012
K(208) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.60953729894
K(209) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.57269732858765
K(210) : 0.0, 0.013529289263317052 -> 0.0, 0.013529289263317052*73.59616976848721
