B(20) : 1.0, 0.0 -> 0.0, 0.013560034105815726*73.74612719971793
K(21) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.77737581670813
K(22) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.74737804510004
K(23) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.72050101290354
K(24) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.73800771304641
K(25) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.76120192345432
K(26) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.74690581382987
K(27) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.6945268599704
K(28) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.72868600661798
K(29) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.75167208727194
K(30) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.83647412559577
K(31) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.80270905476195
K(32) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.86463064053123
K(33) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.75811980511551
K(34) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.78347869804406
K(35) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.8441483271572
K(36) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.90088976132972
K(37) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.87437909034804
K(38) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.83772985047531
K(39) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.85434544433416
K(40) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.96010191346461
K(41) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.97002569315426
K(42) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.99924555360434
K(43) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.08999102841813
K(44) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.1000149443504
K(45) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.04776766079341
K(46) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.04906697798825
K(47) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.07913648656739
K(48) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.03557080858323
K(49) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.02138330772496
K(50) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.02900455167791
K(51) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.14440997410301
K(52) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.06429723938741
K(53) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.13795939255758
K(54) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.18633665570391
K(55) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.21847789485602
K(56) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.29892033136858
K(57) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.21942848458184
K(58) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.16593648472141
K(59) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.11926239542854
K(60) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.09051380998531
K(61) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.0771285255287
K(62) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.08539110407546
K(63) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.005264308768
K(64) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.93236505635701
K(65) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.00336532562196
K(66) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.995095183898
K(67) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.05098595122226
K(68) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.03139600862295
K(69) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.0278947619105
K(70) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.10003274495169
K(71) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.06674078430727
K(72) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.058055617231
K(73) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.06472050474952
K(74) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.0766264715359
K(75) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.0660962316083
K(76) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.1747769232976
K(77) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.14893546556378
K(78) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.12831105711722
K(79) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.08591664531156
K(80) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.99285809608936
K(81) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.96381512303955
K(82) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.98736697148661
K(83) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.07344807275564
K(84) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.07884804346352
K(85) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.14734015601303
K(86) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.01510002841738
K(87) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.01967462940964
K(88) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.9295565060885
K(89) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.98487085621485
K(90) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.98970229287386
K(91) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.00739930025415
K(92) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.02917102819875
K(93) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.9045332689658
K(94) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*73.96855714531192
K(95) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.09194722667857
K(96) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.15842618889896
K(97) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.15431969602227
K(98) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.17478011174077
K(99) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.13624070554408
K(100) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.17143610999223
K(101) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.20177917000913
K(102) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.20314254107207
K(103) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.26149292960322
K(104) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.31927063047819
K(105) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.34570971476657
K(106) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.40116180179392
K(107) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.41477816796507
K(108) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.41050875180903
K(109) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.44798182772004
K(110) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.4799206830702
K(111) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.42499618427297
K(112) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.42589945546749
K(113) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.47422299348855
K(114) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.48395021728868
K(115) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.49845198037576
K(116) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.4586030603445
K(117) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.493148124465
K(118) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.46807500245765
K(119) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.39457192412607
K(120) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.33915652726932
K(121) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.28718824922419
K(122) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.2054715493393
K(123) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.16293721556568
K(124) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.14300539465411
K(125) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.17281721239704
K(126) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.13042132358696
K(127) : 0.0, 0.013560034105815726 -> 0.0, 0.013560034105815726*74.10239972995994
